Library_Full_Name,Ontario_Library_Service_Region,Type_of_Library_Service,City/Town,No_of_Active_Library_Cardholders,Total_Operating_Revenues,Physical_materials,Electronic_materials,Librarians,Library_Technicians,Total_circulation_of_all_library_materials,No_of_standard_reference_transactions,No_of_electronic_reference_transactions,No_of_Readers_Advisory_transactions,Number_of_technology_support_requests
Addington Highlands Twp,Southern Ontario Library Service,Public or Union Library,Flinton,964,103082,10500,3120,0,0,144,0,0,16,0
Adjala-TosorontioTwp,Southern Ontario Library Service,Contracting Municipality,Alliston,0,30898,0,0,0,0,0,0,0,0,0
Admaston/Bromley Twp,Southern Ontario Library Service,Public or Union Library,Douglas,377,51495,4768,2271,0,0,144,1,0,21,1
Ajax,Southern Ontario Library Service,Public or Union Library,Ajax,38219,7262614,457079,434274,7,4,23214,3,9,14,162
Alberton Twp,Ontario Library Service - North,Contracting Municipality,Township of Alberton,0,4415,0,0,0,0,0,0,0,0,0
Alderville FN,Southern Ontario Library Service,First Nations Library,Roseneath,102,56565,3005,1288,0,0,40,2,0,0,0
Alfred & Plantagenet Twp,Southern Ontario Library Service,Public or Union Library,Lefaivre,1466,178437,30343,2420,0,1,398,26,0,0,5
Algonquins of Pikwakanagan FN,Southern Ontario Library Service,First Nations Library,Golden Lake,65,28788,160,2470,0,0,26,0,0,0,0
Alnwick/Haldimand Twp,Southern Ontario Library Service,Public or Union Library,Grafton,1232,300826,23900,8342,0,1,508,28,6,36,2
Amaranth Twp,Southern Ontario Library Service,Contracting Municipality,Amaranth,0,123240,0,0,0,0,0,0,0,0,0
Archipelago Twp,Ontario Library Service - North,Contracting Municipality,Parry Sound,0,36635,0,0,0,0,0,0,0,0,0
Armstrong Twp,Ontario Library Service - North,Public or Union Library,Earlton,337,82127,2875,0,0,0,120,6,0,0,12
Arnprior,Southern Ontario Library Service,Public or Union Library,Arnprior,5667,842104,38392,14114,0,0,2725,48,22,55,14
Asphodel-Norwood,Southern Ontario Library Service,Public or Union Library,Norwood,975,199145,11373,2139,0,0,346,2,0,3,1
Assiginack Twp,Ontario Library Service - North,Public or Union Library,Manitowaning,206,51969,5663,1780,0,0,102,0,0,5,2
Athens Twp,Southern Ontario Library Service,Public or Union Library,Athens,417,73034,6648,1631,0,0,167,1,4,2,1
Atikameksheng Anishnawbek Band No. 6 FN,Ontario Library Service - North,First Nations Library,Whitefish First Nation,500,43236,753,0,0,0,25,0,0,0,0
Atikokan,Ontario Library Service - North,Public or Union Library,Atikokan,738,352220,15054,7148,1,0,318,8,42,25,24
Augusta Twp,Southern Ontario Library Service,Public or Union Library,Brockville,1972,151594,20233,2431,0,0,458,42,13,22,6
Aurora,Southern Ontario Library Service,Public or Union Library,Aurora,22078,3986534,195105,360971,6,5,8053,112,11,14,48
Baldwin Twp,Ontario Library Service - North,Contracting Municipality,McKerrow,0,1694,0,0,0,0,0,0,0,0,0
Bancroft Town,Southern Ontario Library Service,Public or Union Library,Bancroft,1130,216864,8968,2882,0,3,354,16,30,30,15
Barrie,Southern Ontario Library Service,Public or Union Library,Barrie,41145,10122393,474919,634703,14,6,22657,76,56,44,130
Beausoleil First Nation Public Library,Southern Ontario Library Service,First Nations Library,Christian Island,130,93306,0,0,0,0,23,10,0,2,3
Beckwith Twp,Southern Ontario Library Service,Contracting Municipality,Carleton Place,0,135795,0,0,0,0,0,0,0,0,0
Belleville,Southern Ontario Library Service,Public or Union Library,Belleville,19068,2823197,90361,130303,6,10,7270,72,15,34,102
Big Grassy FN,Ontario Library Service - North,First Nations Library,Morson,189,43628,0,0,1,0,150,3,0,0,0
Biigtigong Nishnaabeg,Ontario Library Service - North,First Nations Library,Heron Bay,87,74144,244,0,0,0,60,0,0,25,0
Billings Twp,Ontario Library Service - North,Public or Union Library,Kagawong,250,48099,7116,736,0,0,30,1,1,4,3
