Patron Type Definition,Total Checkouts,Total Renewals,Circulation Active Year
1,28,13,2012
1,21,10,2015
1,275,559,2015
1,73,38,2016
1,182,90,2016
1,1,0,2004
0,31,4,2012
1,547,177,2016
1,28,1,2015
1,77,3,2016
1,593,9,2014
1,784,589,2016
1,601,702,2016
1,2,6,2005
1,99,226,2014
1,84,24,2015
1,369,278,2016
1,65,8,2016
1,147,89,2016
1,93,64,2015
1,321,15,2015
1,228,200,2016
1,6,3,2006
1,120,76,2016
1,1453,242,2016
1,5,0,2007
1,39,32,2015
1,31,30,2015
1,33,0,2015
1,230,62,2016
1,15,14,2015
0,756,232,2016
1,97,38,2015
1,1010,505,2016
1,272,455,2016
1,0,0,2007
1,207,47,2014
1,18,9,2012
1,317,128,2016
1,24,16,2014
1,28,12,2013
1,562,567,2016
1,26,6,2015
1,22,0,2014
1,576,382,2016
1,187,76,2013
1,1541,36,2016
1,88,62,2015
1,4,0,2006
1,141,110,2014
1,12,21,2010
1,237,69,2016
1,1271,527,2016
1,1008,493,2016
1,281,182,2016
1,7,0,2010
1,205,95,2016
0,19,0,2011
1,8,1,2015
1,318,278,2016
1,65,137,2016
1,1065,533,2016
1,879,91,2016
1,6,3,2014
1,29,11,2014
1,17,26,2015
1,54,5,2016
1,74,112,2015
1,2311,1412,2016
1,109,0,2015
1,29,15,2014
1,268,331,2016
1,18,3,2015
1,139,187,2016
1,534,152,2016
1,69,5,2008
1,73,0,2016
1,108,4,2015
1,93,86,2015
1,1552,1184,2016
1,1207,75,2016
0,586,296,2016
1,157,30,2015
1,1229,1640,2016
1,1,1,2013
1,348,95,2016
1,104,33,2015
1,66,36,2014
1,44,91,2014
1,17,0,2013
1,291,30,2016
1,39,3,2014
1,108,95,2014
1,3,9,2006
1,1,0,2015
1,9,2,2004
1,7,5,2013
1,217,16,2013
1,815,7,2016
1,109,135,2015
1,171,60,2016
1,743,842,2016
1,101,8,2016
1,47,4,2010
1,62,26,2016
0,74,19,2011
1,112,47,2016
1,1051,478,2013
1,817,9,2013
1,30,25,2016
1,104,31,2016
1,17,0,2016
1,282,357,2015
1,1434,159,2016
1,75,80,2014
1,4162,1820,2016
1,499,613,2015
1,23,18,2013
1,217,114,2016
1,14,8,2013
1,1285,71,2016
1,130,13,2015
1,456,360,2016
1,5,5,2013
1,537,239,2016
1,896,35,2016
1,241,142,2016
1,301,20,2016
1,201,114,2016
1,388,321,2016
1,42,116,2014
1,560,95,2016
1,24,29,2014
1,105,108,2016
1,367,109,2016
1,481,131,2015
1,38,3,2015
1,3186,556,2016
1,36,84,2015
1,983,1162,2016
1,179,107,2015
1,469,282,2016
1,256,102,2016
1,552,105,2016
1,581,159,2013
1,1245,1439,2016
1,421,272,2016
1,98,29,2016
1,251,252,2016
1,365,178,2015
1,15,9,2016
1,430,268,2016
1,901,60,2013
1,423,364,2015
1,1597,645,2016
1,88,60,2016
1,604,442,2016
1,228,30,2014
1,157,24,2014
1,634,136,2016
1,521,36,2015
1,922,280,2016
1,84,17,2015
1,952,263,2016
1,723,475,2016
1,63,3,2015
1,302,246,2016
1,273,142,2016
1,1947,1106,2016
1,163,68,2015
1,87,43,2015
1,1070,1438,2016
1,285,117,2013
1,18,0,2016
1,747,409,2016
1,1034,117,2016
1,77,47,2016
1,31,19,2016
1,1321,690,2016
1,334,159,2016
1,146,8,2016
1,500,122,2015
1,19,12,2015
1,468,56,2015
1,327,73,2016
1,30,4,2006
1,162,51,2015
1,128,77,2015
1,6,0,2007
1,330,97,2016
1,177,137,2016
1,121,16,2016
1,193,163,2016
1,88,5,2015
1,431,418,2016
1,89,206,2015
1,46,2,2015
1,10,4,2016
1,296,108,2016
1,146,224,2015
1,123,8,2016
1,37,25,2015
1,383,75,2015
1,281,137,2016
1,24,9,2016
1,2,0,2016
1,579,811,2016
1,39,31,2015
1,540,239,2016
1,579,209,2016
1,142,50,2016
1,4286,484,2016
1,0,0,2006
1,59,2,2014
1,255,6,2015
1,30,18,2016
1,28,14,2015
1,195,172,2014
1,78,28,2016
1,313,104,2012
1,123,199,2016
1,636,143,2016
0,484,1124,2016
1,570,293,2016
1,231,173,2016
1,231,216,2016
1,409,11,2016
1,945,357,2016
1,891,351,2016
1,304,79,2016
1,7,0,2016
1,173,204,2016
1,377,41,2016
1,880,325,2016
1,54,12,2016
1,5,3,2013
1,323,132,2016
1,87,46,2013
1,283,197,2016
1,20,30,2015
1,61,9,2016
1,460,160,2015
1,503,449,2016
1,1009,378,2016
1,1192,655,2016
1,1374,1439,2016
1,82,47,2014
1,777,757,2016
1,47,11,2015
1,336,254,2016
1,114,108,2012
1,970,500,2016
1,376,81,2013
1,592,162,2014
1,70,33,2015
1,44,5,2016
1,1303,4,2016
1,104,2,2016
1,281,72,2016
1,142,32,2015
1,158,26,2016
1,35,20,2016
1,549,355,2015
1,1256,395,2016
1,597,310,2016
1,334,194,2013
1,99,48,2016
1,746,331,2016
1,45,37,2015
1,13,1,2016
1,887,901,2016
1,94,31,2016
1,11,3,2015
1,246,23,2016
1,142,53,2015
1,84,31,2016
1,654,456,2015
1,1906,148,2016
1,38,22,2014
1,342,123,2016
1,67,78,2015
1,43,56,2016
1,6,0,2014
1,510,109,2016
1,1836,1328,2016
1,61,38,2016
1,58,33,2016
1,84,53,2015
1,67,46,2015
1,417,148,2014
1,3372,3272,2014
1,0,0,0
1,26,15,2016
1,245,127,2015
1,888,90,2016
1,20,0,2016
1,220,83,2015
1,2340,852,2016
1,2257,246,2016
1,23,0,2005
1,715,973,2014
1,1210,468,2016
